gene_symbol,allele_symbol,zygosity,center,male_total_mice,male_complete_data_mice,male_control_count,male_analyzable,female_total_mice,female_complete_data_mice,female_control_count,female_analyzable,control_status
Rtn4rl2,Rtn4rl2<em1(IMPC)Mbp>,homozygote,UC Davis,2,2,285,False,2,2,289,False,OK
Prss2,Prss2<tm1.1(KOMP)Vlcg>,homozygote,JAX,3,3,1264,True,4,4,1277,True,OK
Pfkfb4,Pfkfb4<tm1b(KOMP)Wtsi>,homozygote,UC Davis,2,2,285,False,2,2,289,False,OK
Pfkfb4,Pfkfb4<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,4,454,True,0,0,452,False,OK
Bst2,Bst2<em1(IMPC)Mbp>,homozygote,UC Davis,2,2,285,False,2,2,289,False,OK
Zgrf1,Zgrf1<em1(IMPC)J>,homozygote,JAX,4,4,1264,True,4,4,1277,True,OK
Vegfb,Vegfb<tm1b(EUCOMM)Hmgu>,homozygote,JAX,4,4,1264,True,4,4,1277,True,OK
Slc9a5,Slc9a5<em1(IMPC)J>,homozygote,JAX,4,4,1264,True,4,4,1277,True,OK
Aldh1a3,Aldh1a3<tm1b(KOMP)Wtsi>,heterozygote,JAX,4,4,1264,True,4,4,1277,True,OK
Csf2rb,Csf2rb<tm2b(EUCOMM)Hmgu>,heterozygote,ICS,9,9,767,True,7,7,745,True,OK
Ints7,Ints7<em1(IMPC)J>,heterozygote,JAX,4,4,1264,True,4,4,1277,True,OK
Ces1d,Ces1d<em1(IMPC)Mbp>,homozygote,UC Davis,2,2,285,False,2,2,289,False,OK
Scn3b,Scn3b<tm1a(KOMP)Wtsi>,homozygote,WTSI,2,2,454,False,2,2,452,False,OK
Itm2c,Itm2c<tm1b(EUCOMM)Wtsi>,heterozygote,HMGU,4,2,475,False,3,2,485,False,OK
Itm2c,Itm2c<em2(IMPC)Tcp>,homozygote,TCP,2,2,293,False,2,2,295,False,OK
Eng,Eng<em1(IMPC)Mbp>,heterozygote,UC Davis,2,2,285,False,2,2,289,False,OK
Dnase1l2,Dnase1l2<tm1.1(KOMP)Wtsi>,homozygote,ICS,9,9,767,True,12,12,745,True,OK
Dnase1l2,Dnase1l2<tm1.1(KOMP)Wtsi>,homozygote,UC Davis,2,2,285,False,2,2,289,False,OK
Dnase1l2,Dnase1l2<em1(IMPC)J>,homozygote,JAX,4,4,1264,True,4,4,1277,True,OK
Dnase1l2,Dnase1l2<tm1.1(KOMP)Wtsi>,homozygote,MRC Harwell,2,2,434,False,2,2,426,False,OK
Dnase1l2,Dnase1l2<tm1.1(KOMP)Wtsi>,homozygote,JAX,4,4,1264,True,4,3,1277,True,OK
Dnase1l2,Dnase1l2<tm1.1(KOMP)Wtsi>,homozygote,HMGU,4,3,475,True,4,2,485,False,OK
Dnase1l2,Dnase1l2<tm1(KOMP)Wtsi>,homozygote,RBRC,4,4,239,True,0,0,57,False,OK
Dnase1l2,Dnase1l2<em2(IMPC)Mbp>,homozygote,UC Davis,2,2,285,False,2,2,289,False,OK
Dnase1l2,Dnase1l2<tm1.1(KOMP)Wtsi>,homozygote,WTSI,0,0,454,False,4,4,452,True,OK
