gene_symbol,center,background,all_p_value,all_test_statistic,all_n_mutants,all_n_controls,all_mean_mutant_logprob,all_std_mutant_logprob,all_mean_mutant_distance,all_mean_control_logprob,all_std_control_logprob,all_mean_control_distance,male_p_value,male_test_statistic,male_n_mutants,male_n_controls,male_mean_mutant_logprob,male_std_mutant_logprob,male_mean_mutant_distance,male_mean_control_logprob,male_std_control_logprob,male_mean_control_distance,female_p_value,female_test_statistic,female_n_mutants,female_n_controls,female_mean_mutant_logprob,female_std_mutant_logprob,female_mean_mutant_distance,female_mean_control_logprob,female_std_control_logprob,female_mean_control_distance,all_q_value,male_q_value,female_q_value
Kcnh8,UC Davis,involves: C57BL/6NCrl,0.6071902016359074,0.5143730725291029,4.0,569.0,-5.151413831516306,0.6859336120821875,1.7208996300656332,-6.093196443365369,3.655017196495675,1.994907333079882,,,,,,,,,,,,,,,,,,,,,0.950923203501146,,
Sun1,ICS,involves: C57BL/6N,4.238411711723435e-96,-22.37818849068149,9.0,1512.0,-41.37937199065041,24.86008209763521,7.743929175580295,-6.144941845987021,4.313162069043365,1.9696863889586644,1.1735329618236728e-97,-24.36118568893896,6.0,767.0,-54.4726097825612,0.8495275874880557,10.08824895876,-6.082626672715604,4.858678812987048,1.927026213734294,0.9757964733223403,0.030349454308281492,3.0,745.0,-6.147247706965598,1.4996256795346663,2.1156785969574434,-6.203688758804432,3.215387609883727,2.0155067810328844,5.20539749484256e-94,1.4121513307278197e-95,0.9953649748825308
Awat2,UC Davis,involves: C57BL/6NCrl,0.4957437346795355,0.6816388161787756,4.0,569.0,-4.845243523735803,0.46964458338016274,1.5496981825714404,-6.093196443365369,3.655017196495675,1.994907333079882,,,,,,,,,,,,,,,,,,,,,0.9369542457665089,,
Nwd2,CCP-IMG,involves: C57BL/6NCrl,0.00031250151041881173,-3.6089708218945202,12.0,2953.0,-9.391084334911898,3.9746962917726925,2.9830142338432384,-6.685641539860106,2.5835718438752338,2.0632708109997515,0.45738040193273233,-0.7433616833262076,6.0,1480.0,-7.523048913080337,2.966162084126556,2.3558644670192623,-6.679860884411158,2.770131851229327,2.054215146449878,9.42011252073096e-06,-4.445586636821353,6.0,1473.0,-10.998526056129462,4.044541864910189,3.518325467332847,-6.692104669950776,2.3571134528534827,2.071147195314441,0.003274107451970868,0.9241724982792077,0.00014396297520471348
Gzf1,TCP,involves: C57BL/6NCrl,4.347569666309742e-06,-4.637052789041216,9.0,588.0,-10.211407986635768,5.654288089450138,3.141173832319608,-6.623468812049034,2.2092663048105936,2.0647091893471874,0.16348136706035016,-1.3969406163066036,4.0,293.0,-8.09158327046853,3.029753176070641,2.654107177180363,-6.561724613349642,2.1540164394438093,2.064561598715151,3.2653112942340823e-09,-6.101224125093148,5.0,295.0,-12.926788273612809,7.818945322294789,3.7253282622362063,-6.649269864858863,2.0546616091011582,2.078057463682694,6.17410750042103e-05,0.7031198856549368,7.418787260499835e-08
Mpv17,JAX,involves: C57BL/6NJ,0.5430548970363196,-0.6082817276591374,7.0,2541.0,-7.191750138054514,1.9300664067668987,2.3558390188594793,-6.606669678942392,2.541819438173644,2.0318895214245827,0.8331828923628365,-0.2106646453710838,3.0,1264.0,-6.921426098687527,1.7491926850855546,2.2538851582526873,-6.6210780149217845,2.4659918418828792,2.036658936142281,0.44928986966623585,-0.7568320654050285,4.0,1277.0,-7.581881599858149,2.243160570610138,2.4955932142954973,-6.587651950276289,2.622290138915017,2.0283561980316174,0.9409807550439444,0.9807326285967722,0.9012241764700011
Klk6,WTSI,involves: C57BL/6N,0.5362494673559284,0.6187304608943217,4.0,904.0,-5.246092400404307,0.3420754965957425,1.5143615448249999,-6.569100162739253,4.271750744660499,2.010461135556884,0.49951379742887403,0.6757967238231871,3.0,453.0,-5.291298369389666,0.48109933836409474,1.438713656649724,-6.699122158669603,3.6000842965818887,2.024252302655386,,,,,,,,,,,0.9409807550439444,0.9371387140700318,
Luc7l3,JAX,involves: C57BL/6NJ,0.15865450070300705,-1.4100246640074785,8.0,2541.0,-7.878588237597594,3.723887097086234,2.3870983256247884,-6.606669678942392,2.541819438173644,2.0318895214245827,0.3793766682307117,-0.8793532116723064,4.0,1264.0,-7.710306033291358,3.8296790395803533,2.347337744077971,-6.6210780149217845,2.4659918418828792,2.036658936142281,0.3128125713764755,-1.0097364200136336,4.0,1277.0,-7.91610265781612,3.4103385844235956,2.4047297532504643,-6.587651950276289,2.622290138915017,2.0283561980316174,0.61837745492007,0.9100317763797325,0.8561790412561455
Insyn2b,JAX,involves: C57BL/6NJ,0.5105412787397321,-0.6580876610878567,8.0,2541.0,-7.199010905189367,2.2139894987687345,2.3152311145644124,-6.606669678942392,2.541819438173644,2.0318895214245827,0.4729221321116688,-0.7179474781125561,4.0,1264.0,-7.508611024598256,2.6421462758834044,2.333169391699922,-6.6210780149217845,2.4659918418828792,2.036658936142281,0.927419569223424,-0.09110985425895343,4.0,1277.0,-6.707244237867199,1.2225159089369255,2.2366643911298683,-6.587651950276289,2.622290138915017,2.0283561980316174,0.9390897024801071,0.9303808702578333,0.9893981095946169
Asb5,CCP-IMG,involves: C57BL/6NCrl,0.00016993207184176,-3.764783426399483,10.0,2953.0,-9.792789659314455,6.245184076058291,2.844998804390678,-6.685641539860106,2.5835718438752338,2.0632708109997515,0.003930129150503441,-2.888248295014302,6.0,1480.0,-9.97657511048532,5.72626746535695,2.942005125556157,-6.679860884411158,2.770131851229327,2.054215146449878,0.007740715292430003,-2.6668325048043724,4.0,1473.0,-9.875234986955665,7.051318916992213,2.7950994611896496,-6.692104669950776,2.3571134528534827,2.071147195314441,0.0018909219806284433,0.03714074930187807,0.062393227186401674
Iqub,UC Davis,involves: C57BL/6NCrl,0.5301015502090461,0.628234458484945,4.0,569.0,-4.942678456535035,1.1572377830458513,1.5172128114651566,-6.093196443365369,3.655017196495675,1.994907333079882,,,,,,,,,,,,,,,,,,,,,0.9409807550439444,,
Bysl,CCP-IMG,involves: C57BL/6NCrl,1.4220195969186197e-12,-7.112619758202148,7.0,2953.0,-13.989804690464709,17.2120902971734,3.4162843937006415,-6.685641539860106,2.5835718438752338,2.0632708109997515,0.794989599961026,0.25988371025601825,3.0,1480.0,-6.263872958232454,1.0953320904846673,1.9704206490900524,-6.679860884411158,2.770131851229327,2.054215146449878,2.2616235881146552e-24,-10.370863724599294,4.0,1473.0,-20.30418545911901,22.094469375748233,4.514604794823141,-6.692104669950776,2.3571134528534827,2.071147195314441,3.8810016324132864e-11,0.9759248143547731,1.2234306648086897e-22
6820408C15Rik,UC Davis,involves: C57BL/6NCrl,0.16327951985886116,-1.3959252225689478,4.0,569.0,-8.664128527228323,4.7934168029056305,2.9009117159630295,-6.093196443365369,3.655017196495675,1.994907333079882,,,,,,,,,,,,,,,,,,,,,0.627386892064871,,
Prss12,CCP-IMG,involves: C57BL/6NCrl,7.213969636301987e-09,-5.802767341247117,7.0,2953.0,-12.377826679144201,4.875713895425243,3.7965791808021083,-6.685641539860106,2.5835718438752338,2.0632708109997515,1.2896106395668935e-12,-7.157288592863552,5.0,1480.0,-15.579886034020262,3.7420946469808074,4.685713757622693,-6.679860884411158,2.770131851229327,2.054215146449878,,,,,,,,,,,1.390786239184732e-07,3.637105006903504e-11,
Kbtbd11,CCP-IMG,involves: C57BL/6NCrl,0.2266515914189864,-1.209280217400653,15.0,2953.0,-7.493712184535505,1.908539328312022,2.4680229988660782,-6.685641539860106,2.5835718438752338,2.0632708109997515,0.35982905493816053,-0.9159743718869967,7.0,1480.0,-7.641504822323484,2.5774098469519897,2.472816095669753,-6.679860884411158,2.770131851229327,2.054215146449878,0.4082282972603908,-0.8272509320534567,8.0,1473.0,-7.382494320621262,1.2436791080279097,2.4677649358388196,-6.692104669950776,2.3571134528534827,2.071147195314441,0.7390134485205102,0.904726260550647,0.8951501432917846
Mief1,UC Davis,involves: C57BL/6NCrl,0.4086599426103811,0.8268632964643754,4.0,569.0,-4.579344128591801,0.5217908186322813,1.3603418022717004,-6.093196443365369,3.655017196495675,1.994907333079882,,,,,,,,,,,,,,,,,,,,,0.9100848688354759,,
Rasgrf1,MRC Harwell,involves: C57BL/6NTac,0.2476008266970651,-1.1582721172655122,5.0,323.0,-7.288607237949963,2.402412214249668,2.493592646737353,-6.207887349286831,2.058392245428883,2.1035111651637655,0.9478184063670179,-0.06555070130534232,3.0,157.0,-6.237752744938284,1.8216908285564273,2.097763313852353,-6.154387509397172,2.174422161698864,2.0956234218553775,,,,,,,,,,,0.7694886048054994,0.9950670560226541,
Htr1d,JAX,involves: C57BL/6NJ,0.16231407100023762,1.3977360293285814,8.0,2541.0,-5.349809286625846,0.9311748448243018,1.4414917514478711,-6.606669678942392,2.541819438173644,2.0318895214245827,0.39311123075697896,0.8542804589790605,4.0,1264.0,-5.566679621634086,0.9401141976746866,1.5926552480856981,-6.6210780149217845,2.4659918418828792,2.036658936142281,0.2525398455545106,1.1447187614346466,4.0,1277.0,-5.085407698841864,0.7230817882567808,1.296646769969754,-6.587651950276289,2.622290138915017,2.0283561980316174,0.6265814428833387,0.9104155869877018,0.8036001808121122
